bridge_id,FACILITY_CARRIED_007,LOCATION_009,latitude,longitude,LOWEST_RATING,BRIDGE_CONDITION,bridge_age,ADT_029,STRUCTURE_LEN_MT_049,DECK_COND_NUM,SUPERSTRUCTURE_COND_NUM,SUBSTRUCTURE_COND_NUM,predicted_deterioration_probability,priority_rank
53C0691,GREENLEAF AVE,0.3MI S/O MULBERRY RD,33.95295555555556,-118.0498361111111,8,G,65,10229,11.3,,,,0.9508070994640669,47
0000000L2015454,DOE MILL ROAD,18 mi NE of Chico  CA,39.909019444444446,-121.61821111111111,7,G,8,160,38.7,7.0,7.0,7.0,0.9507779143229766,48
33 0302H,E&W580-E24 CONNCTR,04-ALA-580-45.23-OAK,37.82508333333334,-122.27305555555556,6,F,55,40000,1200.9,7.0,7.0,6.0,0.9499252996835735,49
53C1451,PAINTER AVE,0.5MI N/O TELEGRAPH RD,33.94792777777777,-118.04819166666667,8,G,65,10042,10.7,,,,0.9498041832255251,50
53C0395,ALOSTA AVE,0.8MI E/O AZUSA AVE,34.13106111111111,-117.89509166666667,8,G,65,11900,9.1,,,,0.9483806827333459,51
08C0027,KOPTA ROAD,0.7 MI SOUTH OF DALE RD,39.92034444444444,-122.10470555555555,8,G,44,101,6.7,,,,0.9476715707173461,52
33 0303H,E&W580-W980 CNNCTR,04-ALA-580-45.14-OAK,37.82509166666667,-122.27253888888889,6,F,55,16000,1009.2,7.0,7.0,6.0,0.9450361341179757,53
53 2339K,RAMP/CONNECTOR 210,07-LA-210-R18.15,34.212744444444446,-118.22880277777777,8,G,53,6000,7.6,,,,0.9444918301133333,54
53 2338S,RAMP/CONNECTOR 210,07-LA-210-R18.13,34.21181388888889,-118.22952222222223,8,G,53,6000,7.9,,,,0.9444744252268403,55
53C2159,PIER G AVE,250FT S/O HARBOR PLZ DR,33.75445555555556,-118.2040138888889,7,G,31,4910,56.0,7.0,8.0,7.0,0.9442536822909514,56
051552000001016,NO DATA ENTERED,NO DATA ENTERED,37.1096,-119.1693,6,F,56,50,15.5,,6.0,6.0,0.9434233049212148,57
53C0690,CARMENITA RD,0.5MI N/O TELEGRAPH RD,33.94642777777777,-118.04636944444444,8,G,65,26049,13.4,,,,0.9433947034808714,58
000000000L59880,FTORD 19038: OLD R,4 mi SW of Salinas  CA,36.6251,-121.6888,7,G,85,100,12.3,7.0,7.0,7.0,0.9431337299438414,59
39C0407,WEST YOSEMITE AVE,0.2 MI WEST OF R STREET,37.33215555555556,-120.48974166666667,8,G,18,5812,8.4,,,,0.9426817764590207,60
53C1473,DON JULIAN RD,0.2MI W/O BASETDALE AVE,34.04513611111111,-118.00378611111111,8,G,62,7312,6.4,,,,0.9425686434496622,61
06C0397,GAS PT RD,1.9 ML WEST OF I-5,40.389177777777775,-122.32090555555556,8,G,3,5104,8.2,,,,0.9417085011894056,62
33 0304G,E980-580 CONNECTOR,04-ALA-980-1.98-OAK,37.825100000000006,-122.27080833333333,7,G,55,54000,829.4,7.0,7.0,7.0,0.9413415692636736,63
54 0882L,INTERSTATE 40,08-SBD-040-R11.10,34.843875000000004,-116.82336388888889,8,G,57,9800,8.2,,,,0.9411782406124145,64
54 0882R,INTERSTATE 40,08-SBD-040-R11.10,34.84352777777778,-116.8234611111111,8,G,57,9800,8.2,,,,0.9411782406124145,65
54 0881L,ROUTE 40 W BOUND,08-SBD-040-R10.30,34.84545555555556,-116.83577222222222,8,G,57,9800,9.1,,,,0.9411584730143766,66
54 0881R,ROUTE 40 E BOUND,08-SBD-040-R10.30,34.84511666666667,-116.83593888888889,8,G,57,9800,9.1,,,,0.9411584730143766,67
54 1013L,INTERSTATE 40 WB,08-SBD-040-R65.80L,34.734436111111116,-115.891975,8,G,53,16500,6.7,,,,0.9402669192887141,68
53C0340,FIRESTONE BLVD,0.5MI SE/O SAN ANTONIO DR,33.905769444444445,-118.06914444444445,8,G,91,26842,7.6,,,,0.939132759198861,69
53C1703,SIERRA LEONE AVE,0.1MI S/O COLIMA RD,33.986869444444444,-117.90128333333334,8,G,64,2666,6.7,,,,0.9389538036775712,70
39C0372,KAHLON ROAD,1.6 MI SE OF LE GRAND RD,37.207097222222224,-120.3567861111111,8,G,38,200,8.3,,,,0.9373287032386338,71
57C0430,HOLLISTER ST,1.6 MI S/O CORONADO AVE,32.550822222222216,-117.08405555555555,7,G,72,1279,249.3,7.0,7.0,7.0,0.9364881123460689,72
50 0390,INTERSTATE 5,06-KER-005-42.89,35.310491666666664,-119.27332222222222,8,G,56,30000,14.6,,,,0.9361024656747922,73
051459000001089,CEDAR CREEK,NO DATA ENTERED,41.326261111111116,-122.54691111111111,7,G,36,50,12.2,7.0,7.0,7.0,0.9360678536201058,74
0000000L2013228,67113: GRAYS WELL,35 mi W of El Centro  CA,32.70525,-114.9571888888889,7,G,24,100,73.5,,8.0,7.0,0.9351373940971726,75
58 0094,INTERSTATE 8,11-IMP-008-R83.71,32.760463888888886,-114.83984722222222,8,G,55,14500,19.8,,,,0.9346803172867028,76
