feature,importance
categorical__SERVICE_UND_042B_7,0.0
categorical__SERVICE_UND_042B_8,0.0
categorical__SERVICE_UND_042B_9,0.0
categorical__SERVICE_UND_042B_2,0.0
categorical__DESIGN_LOAD_031_0,0.0
categorical__DESIGN_LOAD_031_1,0.0
categorical__DESIGN_LOAD_031_3,0.0
categorical__DESIGN_LOAD_031_2,0.0
categorical__DESIGN_LOAD_031_5,0.0
categorical__DESIGN_LOAD_031_6,0.0
categorical__DESIGN_LOAD_031_9,0.0
categorical__DESIGN_LOAD_031_4,0.0
categorical__DESIGN_LOAD_031_A,0.0
categorical__DESIGN_LOAD_031_B,0.0
categorical__DESIGN_LOAD_031_infrequent_sklearn,0.0
categorical__DESIGN_LOAD_031_C,0.0
categorical__HIGHWAY_SYSTEM_104_0,0.0
categorical__HIGHWAY_SYSTEM_104_1,0.0
categorical__BRIDGE_CONDITION_G,0.0
categorical__BRIDGE_CONDITION_P,0.0
