priority_fraction,bridges_selected,precision_at_k,recall_at_k,lift_vs_random
0.01,257,0.14396887159533073,0.03790983606557377,3.8021942973783243
0.05,1288,0.1110248447204969,0.14651639344262296,2.9321479482741064
0.1,2577,0.09972836631742336,0.26331967213114754,2.63380980553064
0.2,5155,0.08535402521823472,0.45081967213114754,2.2541858135504285
